unit,s_adj,nace_r2,indic,geo,TIME_PERIOD,OBS_VALUE
I20,SCA,B,LM-LCI-TOT,DK,2021-Q4,
I20,SCA,B,LM-LCI-TOT,DK,2022-Q1,
I20,SCA,B,LM-LCI-TOT,DK,2022-Q2,
I20,SCA,B,LM-LCI-TOT,DK,2022-Q3,
I20,SCA,B,LM-LCI-TOT,DK,2022-Q4,
I20,SCA,B,LM-LCI-TOT,DK,2023-Q1,
I20,SCA,B,LM-LCI-TOT,DK,2023-Q2,
I20,SCA,B,LM-LCI-TOT,DK,2023-Q3,
I20,SCA,B,LM-LCI-TOT,DK,2023-Q4,
I20,SCA,B,LM-LCI-TOT,DK,2024-Q1,
I20,SCA,B,LM-LCI-TOT,EA,2021-Q1,101.6
I20,SCA,B,LM-LCI-TOT,EA,2021-Q2,97.5
I20,SCA,B,LM-LCI-TOT,EA,2021-Q3,100.3
I20,SCA,B,LM-LCI-TOT,EA,2021-Q4,101.2
I20,SCA,B,LM-LCI-TOT,EA,2022-Q1,102.5
I20,SCA,B,LM-LCI-TOT,EA,2022-Q2,104.1
I20,SCA,B,LM-LCI-TOT,EA,2022-Q3,106.6
I20,SCA,B,LM-LCI-TOT,EA,2022-Q4,108.3
I20,SCA,B,LM-LCI-TOT,EA,2023-Q1,108.8
I20,SCA,B,LM-LCI-TOT,EA,2023-Q2,110.9
I20,SCA,B,LM-LCI-TOT,EA,2023-Q3,110.5
I20,SCA,B,LM-LCI-TOT,EA,2023-Q4,112.7
I20,SCA,B,LM-LCI-TOT,EA,2024-Q1,113.9
I20,SCA,B,LM-LCI-TOT,EA19,2021-Q1,101.5
I20,SCA,B,LM-LCI-TOT,EA19,2021-Q2,97.2
I20,SCA,B,LM-LCI-TOT,EA19,2021-Q3,100.0
I20,SCA,B,LM-LCI-TOT,EA19,2021-Q4,101.8
I20,SCA,B,LM-LCI-TOT,EA19,2022-Q1,102.2
I20,SCA,B,LM-LCI-TOT,EA19,2022-Q2,103.2
I20,SCA,B,LM-LCI-TOT,EA19,2022-Q3,106.8
I20,SCA,B,LM-LCI-TOT,EA19,2022-Q4,109.0
I20,SCA,B,LM-LCI-TOT,EA19,2023-Q1,109.1
I20,SCA,B,LM-LCI-TOT,EA19,2023-Q2,109.5
I20,SCA,B,LM-LCI-TOT,EA19,2023-Q3,110.4
I20,SCA,B,LM-LCI-TOT,EA19,2023-Q4,113.3
I20,SCA,B,LM-LCI-TOT,EA19,2024-Q1,114.3
I20,SCA,B,LM-LCI-TOT,EA20,2021-Q1,101.6
I20,SCA,B,LM-LCI-TOT,EA20,2021-Q2,97.3
I20,SCA,B,LM-LCI-TOT,EA20,2021-Q3,100.4
I20,SCA,B,LM-LCI-TOT,EA20,2021-Q4,101.2
I20,SCA,B,LM-LCI-TOT,EA20,2022-Q1,102.3
I20,SCA,B,LM-LCI-TOT,EA20,2022-Q2,103.9
I20,SCA,B,LM-LCI-TOT,EA20,2022-Q3,106.7
I20,SCA,B,LM-LCI-TOT,EA20,2022-Q4,108.4
I20,SCA,B,LM-LCI-TOT,EA20,2023-Q1,108.6
I20,SCA,B,LM-LCI-TOT,EA20,2023-Q2,110.8
I20,SCA,B,LM-LCI-TOT,EA20,2023-Q3,110.4
I20,SCA,B,LM-LCI-TOT,EA20,2023-Q4,112.8
I20,SCA,B,LM-LCI-TOT,EA20,2024-Q1,113.9
I20,SCA,B,LM-LCI-TOT,EE,2021-Q1,103.4
I20,SCA,B,LM-LCI-TOT,EE,2021-Q2,106.3
I20,SCA,B,LM-LCI-TOT,EE,2021-Q3,107.6
I20,SCA,B,LM-LCI-TOT,EE,2021-Q4,108.9
I20,SCA,B,LM-LCI-TOT,EE,2022-Q1,113.2
I20,SCA,B,LM-LCI-TOT,EE,2022-Q2,114.6
I20,SCA,B,LM-LCI-TOT,EE,2022-Q3,116.0
I20,SCA,B,LM-LCI-TOT,EE,2022-Q4,120.7
I20,SCA,B,LM-LCI-TOT,EE,2023-Q1,119.8
I20,SCA,B,LM-LCI-TOT,EE,2023-Q2,124.6
I20,SCA,B,LM-LCI-TOT,EE,2023-Q3,125.0
I20,SCA,B,LM-LCI-TOT,EE,2023-Q4,133.1
I20,SCA,B,LM-LCI-TOT,EE,2024-Q1,132.2
I20,SCA,B,LM-LCI-TOT,EL,2021-Q1,95.5
I20,SCA,B,LM-LCI-TOT,EL,2021-Q2,96.6
I20,SCA,B,LM-LCI-TOT,EL,2021-Q3,97.9
I20,SCA,B,LM-LCI-TOT,EL,2021-Q4,98.2
I20,SCA,B,LM-LCI-TOT,EL,2022-Q1,88.0
I20,SCA,B,LM-LCI-TOT,EL,2022-Q2,90.3
I20,SCA,B,LM-LCI-TOT,EL,2022-Q3,97.7
I20,SCA,B,LM-LCI-TOT,EL,2022-Q4,91.4
I20,SCA,B,LM-LCI-TOT,EL,2023-Q1,87.6
I20,SCA,B,LM-LCI-TOT,EL,2023-Q2,108.9
I20,SCA,B,LM-LCI-TOT,EL,2023-Q3,89.6
I20,SCA,B,LM-LCI-TOT,EL,2023-Q4,84.6
I20,SCA,B,LM-LCI-TOT,EL,2024-Q1,100.7
I20,SCA,B,LM-LCI-TOT,ES,2021-Q1,113.3
I20,SCA,B,LM-LCI-TOT,ES,2021-Q2,94.6
I20,SCA,B,LM-LCI-TOT,ES,2021-Q3,92.2
I20,SCA,B,LM-LCI-TOT,ES,2021-Q4,92.5
I20,SCA,B,LM-LCI-TOT,ES,2022-Q1,91.5
